product_id,product_name,category,unit_price,unit_cost
1,Inflatable Political Globe,Other,0.85,0.55
2,Robot Pencil Sharpner,Stationery,5.06,3.29
3,Groovy Cactus Inflatable,Other,0.39,0.25
4,Bendy Colour Pencils,Stationery,0.42,0.27
5,Doggy Rubber,Other,0.21,0.14
6,Hearts Wrapping Tape,Seasonal & Gifts,0.65,0.42
7,Army Camo Wrapping Tape,Other,0.65,0.42
8,Spots On Red Bookcover Tape,Other,0.42,0.27
9,Army Camo Bookcover Tape,Other,0.42,0.27
10,Mini Funky Design Tapes,Other,0.85,0.55
11,Colouring Pencils Brown Tube,Stationery,0.42,0.27
12,Colouring Pencils Brown Tube,Stationery,1.25,0.81
13,Colouring Pencils Brown Tube,Stationery,2.46,1.6
14,Assorted Colour Jumbo Pen,Other,0.42,0.27
15,Asstd Design Racing Car Pen,Other,3.29,2.14
16,Fan Black Frame,Home & Living,0.29,0.19
17,Paper Pocket Traveling Fan,Stationery,0.83,0.54
18,Assorted Colours Silk Fan,Other,1.63,1.06
19,Sandalwood Fan,Other,1.63,1.06
20,Pink Paper Parasol,Stationery,5.79,3.76
21,Blue Paper Parasol,Stationery,2.95,1.92
22,Purple Paper Parasol,Stationery,2.95,1.92
23,Red Paper Parasol,Stationery,2.95,1.92
24,Edwardian Parasol Black,Other,5.95,3.87
25,Edwardian Parasol Natural,Other,5.95,3.87
26,Edwardian Parasol Pink,Other,5.95,3.87
27,Edwardian Parasol Black,Other,12.46,8.1
28,Edwardian Parasol Natural,Other,12.46,8.1
29,Edwardian Parasol Pink,Other,12.46,8.1
30,Blue Polkadot Garden Parasol,Other,7.95,5.17
31,Pink Polkadot Garden Parasol,Other,7.95,5.17
32,Ice Cream Design Garden Parasol,Other,10.79,7.01
33,English Rose Edwardian Parasol,Other,3.0,1.95
34,Fairy Cake Design Umbrella,Bags & Accessories,2.95,1.92
35,Fairy Cake Design Umbrella,Bags & Accessories,8.29,5.39
36,Small Folding Scissor(Pointed Edge),Other,0.12,0.08
37,Folding Camping Scissor W/Knif & S,Other,0.12,0.08
38,Animal Stickers,Stationery,0.21,0.14
39,Food/Drink Sponge Stickers,Stationery,0.21,0.14
40,Small Chinese Style Scissor,Other,0.42,0.27
41,Medium Chinese Style Scissor,Other,0.5,0.32
42,Large Chinese Style Scissor,Other,0.85,0.55
43,Clear Stationery Box Set,Other,0.83,0.54
44,Mini Highlighter Pens,Other,0.12,0.08
45,Pop Art Push Down Rubber,Other,0.12,0.08
46,Pop-Art Fluorescent Pens,Other,0.42,0.27
47,Popart Wooden Pencils Asst,Stationery,0.04,0.03
48,Teatime Pen Case & Pens,Kitchen & Dining,0.85,0.55
49,Pop Art Pen Case & Pens,Stationery,0.85,0.55
50,Teatime Round Pencil Sharpener,Kitchen & Dining,0.83,0.54
51,Teatime Gel Pens Asst,Kitchen & Dining,0.12,0.08
52,Teatime Pencil With Rubber,Kitchen & Dining,0.55,0.36
53,Teatime Pencil W Stamp Asst,Kitchen & Dining,0.42,0.27
54,Teatime Push Down Rubber,Kitchen & Dining,0.19,0.12
55,Popart Col Ballpoint Pen Asst,Stationery,0.21,0.14
56,Popart Rect Pencil Sharpener Asst,Stationery,0.12,0.08
57,Funky Girl Address Book,Other,0.38,0.25
58,Flowers Handbag Blue And Orange,Bags & Accessories,1.25,0.81
59,Wrap Carousel,Other,0.42,0.27
60,"Wrap, Friendship On Green",Other,0.42,0.27
61,Wrap Pink Fairy Cakes,Other,0.42,0.27
62,Wrap Speed Demons,Other,0.1,0.06
63,Wrap Boudoir,Other,0.1,0.06
64,Wrap Bad Hair Day,Other,0.1,0.06
65,Wrap  Pink Flock,Other,0.42,0.27
66,Wrap English Rose,Other,0.42,0.27
