customer_id,customer_name,action,reason,priority,expected_value
15749,Customer 15749,Retention outreach,No purchase for 235 days,High,30109.59
15098,Customer 15098,Retention outreach,No purchase for 182 days,High,26987.5
12346,Customer 12346,Retention outreach,No purchase for 326 days,High,26380.42
16754,Customer 16754,Retention outreach,No purchase for 372 days,High,25964.8
17850,Customer 17850,Retention outreach,No purchase for 372 days,High,19016.48
13093,Customer 13093,Retention outreach,No purchase for 276 days,High,18434.87
13902,Customer 13902,Retention outreach,No purchase for 632 days,High,11502.26
13802,Customer 13802,Retention outreach,No purchase for 139 days,High,9795.41
12482,Customer 12482,Retention outreach,No purchase for 576 days,High,8945.68
14063,Customer 14063,Retention outreach,No purchase for 438 days,High,7661.44
16180,Customer 16180,Retention outreach,No purchase for 100 days,High,7500.61
13687,Customer 13687,Retention outreach,No purchase for 438 days,High,6683.18
13027,Customer 13027,Retention outreach,No purchase for 114 days,High,6213.12
16553,Customer 16553,Retention outreach,No purchase for 163 days,High,6162.15
15808,Customer 15808,Retention outreach,No purchase for 306 days,High,6151.88
13564,Customer 13564,Retention outreach,No purchase for 144 days,High,5771.94
17448,Customer 17448,Retention outreach,No purchase for 497 days,High,5564.66
15760,Customer 15760,Retention outreach,No purchase for 631 days,High,5446.23
12980,Customer 12980,Retention outreach,No purchase for 158 days,High,5436.06
15768,Customer 15768,Retention outreach,No purchase for 116 days,High,5227.43
18087,Customer 18087,Retention outreach,No purchase for 98 days,High,4932.73
18052,Customer 18052,Retention outreach,No purchase for 565 days,High,4754.1
15032,Customer 15032,Retention outreach,No purchase for 256 days,High,4661.73
14028,Customer 14028,Retention outreach,No purchase for 550 days,High,4659.46
13952,Customer 13952,Retention outreach,No purchase for 218 days,High,4373.9
12918,Customer 12918,Retention outreach,No purchase for 626 days,High,4314.06
14016,Customer 14016,Retention outreach,No purchase for 162 days,High,4017.14
12590,Customer 12590,Retention outreach,No purchase for 211 days,High,4013.07
14045,Customer 14045,Retention outreach,No purchase for 109 days,High,3985.3
14134,Customer 14134,Retention outreach,No purchase for 383 days,High,3762.82
17504,Customer 17504,Retention outreach,No purchase for 206 days,High,3525.46
15202,Customer 15202,Retention outreach,No purchase for 420 days,High,3503.64
18260,Customer 18260,Retention outreach,No purchase for 173 days,High,3393.23
14439,Customer 14439,Retention outreach,No purchase for 320 days,High,3389.41
12643,Customer 12643,Retention outreach,No purchase for 128 days,High,3369.44
14091,Customer 14091,Retention outreach,No purchase for 654 days,High,3366.82
17230,Customer 17230,Retention outreach,No purchase for 264 days,High,3348.25
